ID,Symbol,Name,Symbol Lemgth
ascension,asn,Ascension,3
ascentpad,asp,AscentPad,3
asd,asd,AscendEx,3
ash,ash,ASH,3
ashera,ash,Ashera,3
asimi,asimi,ASIMI,5
asix,asix,ASIX,4
asixplus,asix+,AsixPlus,5
aspire,asp,Aspire,3
assangedao,justice,AssangeDAO,7
assaplay,assa,AssaPlay,4
assara,assa,ASSARA,4
assetmantle,mntl,AssetMantle,4
asta,asta,ASTA,4
astar,astr,Astar,4
aster,atc,Aster,3
astrafer,astrafer,Astrafer,8
astralis,star,Astralis,4
astrapad,astra,AstraPad,5
astrazion,aznt,AstraZion,4
astrobirdz,abz,AstroBirdz,3
astrodonkey,dnky,AstroDonkey,4
astroelon,elonone,AstroElon,7
astrogrow,atg,AstroGrow,3
astronaut,naut,Astronaut,4
astronos,astro,Astronos,5
astroport,astroc,Astroport Classic,6
astrosanta,asa,AstroSanta,3
astroswap,astro,AstroSwap,5
astrotools,astro,AstroTools,5
astrowar,awar,Astrowar,4
asva,asva,Asva Labs,4
asyagro,asy,ASYAGRO,3
atari,atri,Atari,4
atauro,atr,Atauro,3
atbcoin,atb,ATBCoin,3
atheios,ath,Atheios,3
athenas,athenasv2,Athenas,9
atheneum,aem,Atheneum,3
athens,ath,Athens,3
athletex,ax,AthleteX,2
atlantis,atlas,Atlantis,5
atmos,atmos,Atmos,5
atn,atn,ATN,3
atompad,atpad,AtomPad,5
atpay,atpay,AtPay,5
atrollcity,pine,Atrollcity,4
attila,att,Attila,3
attn,attn,ATTN,4
attrace,attr,Attrace,4
auction,auction,Bounce,7
auctus,auc,Auctus,3
audax,audax,Audax,5
audiocoin,adc,AudioCoin,3
auditchain,audt,Auditchain,4
audius,audio,Audius,5
augur,rep,Augur,3
auraswap,aura,AuraSwap,4
aureo,aur,AUREO,3
aurigami,ply,Aurigami,3
aurix,aur,Aurix,3
aurora,aoa,Aurora Chain,3
auroracoin,aur,Auroracoin,3
aurory,aury,Aurory,4
auruscoin,awx,AurusDeFi,3
aurusgold,awg,AurusGOLD,3
autentica,aut,Autentica,3
authencity,auth,Authencity,4
auto,auto,Auto,4
autobusd,abs,Autobusd,3
autocrypto,au,AutoCrypto,2
automata,ata,Automata,3
automaticup,atmup,AutoMaticUp,5
autonio,niox,Autonio,4
autoshark,jaws,AutoShark,4
autosingle,autos,AutoSingle,5
autumn,autumn,Autumn,6
auxilium,aux,Auxilium,3
avakus,avak,Avakus,4
avalaunch,xava,Avalaunch,4
avapay,avapay,AvaPay,6
avara,avr,AVARA,3
avaware,ave,Avaware,3
avaxfi,avfi,AvaxFi,4
avaxlauncher,avxl,Avaxlauncher,4
avaxtars,avxt,Avaxtars,4
avaxup,avaxup,AvaxUp,6
avefarm,ave,AveFarm,3
aventus,avt,Aventus,3
avianite,avian,Avianite,5
avinoc,avinoc,AVINOC,6
avme,avme,AVME,4
avnrich,avn,AVNRich,3
avocado,avo,Avocado,3
avocadocoin,avdo,AvocadoCoin,4
avwbtc,avwbtc,avWBTC,6
avweth,avweth,avWETH,6
axe,axe,Axe,3
axel,axel,AXEL,4
axelar,axl,Axelar,3
axia,axiav3,Axia,6
axioms,axi,Axioms,3
axion,axn,Axion,3
axlusdc,axlusdc,axlUSDC,7
axpire,axpr,Moola,4
azbit,az,Azbit,2
azeusx,azx,AzeusX,3
azit,azit,Azit,4
azuki,azuki,Azuki,5
azuras,uzz,UZURAS,3
azuray,azy,Azuray,3
azus,azu,Azus,3
baanx,bxx,Baanx,3
baasid,baas,BaaSid,4
babb,bax,BABB,3
babelfish,babel,BabelFish,5
babyaeth,baeth,BabyAETH,5
babyapefunclub,bafc,BabyApeFunClub,4
babybitcoin,babybitc,BabyBitcoin,8
babybnb,babybnb,BabyBNB,7
babyboo,babyboo,BabyBoo,7
babybusd,babybusd,BabyBUSD,8
babycatgirl,babycatgirl,BabyCatGirl,11
babydogecake,bdc,BabyDogeCake,3
babydogezilla,babydogezilla,BabyDogeZilla,13
babydot,bdot,BabyDot,4
babyeth,babyeth,BabyEth,7
babyethereum,bbeth,BabyEthereum,5
babyfeg,bbfeg,Babyfeg,5
babyfloki,babyfloki,BabyFloki,9
babyharmony,babyharmony,BabyHarmony,11
babykitty,babykitty,BabyKitty,9
babykraken,krakbaby,BabyKraken,8
babyllama,babyllama,Babyllama,9
babylondao,bby,BabylonDAO,3
babylonia,baby,Babylonia,4
babylons,babi,Babylons,4
babyokx,babyokx,BABYOKX (BSC),7
babyquick,babyquick,BabyQuick,9
babysafemoon,bsfm,BabySafeMoon,4
babyswap,baby,BabySwap,4
babytigergold,babytiger,BabyTigerGold,9
babywakandainu,babywkd,Babywakandainu,7
babywhale,bbw,BabyWhale,3
babywhitetiger,bwt,BabyWhiteTiger,3
babyxape,babyx,BabyXape,5
babyxrp,bbyxrp,BabyXrp,6
bacondao,bacon,BaconDAO,5
baconswap,bacon,BaconSwap,5
bae,bae,Bae,3
baepay,baepay,BAEPAY,6
bagel,bagel,Bagels Finance,5
bagsoccer,bags,BagSoccer,4
bahtcoin,bht,Bahtcoin,3
baitcoin,bait,Baitcoin,4
bakedcake,bakedcake,BakedCake Finance,9
bakerytools,tbake,BakeryTools,5
baklava,bava,Baklava,4
balancer,bal,Balancer,3
balicoin,bali,Bali Coin,4
balisari,bst,Balisari,3
ballswap,bsp,BallSwap,3
balpha,balpha,bAlpha,6
bamboo,bam,BAMBOO,3
bamboonium,bamb,Bamboonium,4
bami,bami,Bami,4
banana,banana,Banana,6
bananatok,bna,BananaTok,3
banano,ban,Banano,3
banca,banca,Banca,5
bancor,bnt,Bancor Network,3
bankcoincash,bcash,BankCoin BCash,5
bankera,bnk,Bankera,3
bankerdoge,banker,BankerDoge,6
banketh,banketh,BankEth,7
banksocial,bsl,BankSocial,3
bankwupt,bankwupt,Bankwupt,8
bantu,xbn,Bantu,3
bare,bare,BARE,4
barnbridge,bond,BarnBridge,4
barter,brtr,Barter,4
bartertrade,bart,BarterTrade,4
basic,basic,BASIC,5
basilisk,bsx,Basilisk,3
basketcoin,bskt,BasketCoin,4
basketdao,bask,BasketDAO,4
bata,bta,Bata,3
batorrent,ba,BaTorrent,2
battlemechs,gemz,BattleMechs,4
battleverse,bvc,BattleVerse,3
bazaars,bzr,Bazaars,3
bbscoin,bbs,BBSCoin,3
bchpad,bpad,BCHPad,4
bcv,bcv,BitCapitalVendor,3
bdlt,bdlt,BDLT,4
bdollar,bdo,bDollar,3
beacon,becn,Beacon,4
beam,beam,BEAM,4
beamswap,glint,BeamSwap,5
bean,bean,Bean,4
beatbind,bbnd,BeatBind,4
beatzcoin,btzc,BeatzCoin,4
bedrock,rock,Bedrock,4
beechat,chat,BeeChat,4
beekan,bkbt,BeeKan / Beenews,4
beenode,bnode,Beenode,5
beeruscat,bcat,BeerusCat,4
beetlecoin,beet,Beetlecoin,4
befitter,fiu,beFITTER,3
beglobaldao,glbd,BeglobalDAO,4
beholder,eye,Behodler,3
bela,aqua,Bela Aqua,4
beldex,bdx,Beldex,3
belifex,befx,Belifex,4
bellcoin,bell,Bellcoin,4
belrium,bel,Belrium,3
belt,belt,Belt,4
bem,bemt,BEM,4
benddao,bend,BendDAO,4
bened,bnd,Bened,3
benqi,qi,BENQI,2
benzene,bzn,Benzene,3
bepay,becoin,bePAY Finance,6
bepis,bepis,BEPIS,5
bernard,bern,Bernard,4
bernaswap,bera,Bernaswap,4
berry,berry,Berry,5
berryswap,berry,BerrySwap,5
berylbit,brb,BerylBit,3
beskar,bsk-baa025,Beskar,10
bestay,bsy,Bestay,3
betcoin,bet,BETCOIN,3
betdice,dice,BetDice,4
betero,bte,Betero,3
betherchip,bec,Betherchip,3
bethereum,bether,Bethereum,6
betify,betify,Betify,6
betswirl,bets,BetSwirl,4
betu,betu,Betu,4
beyondcoin,bynd,Beyondcoin,4
beyondpay,bpay,Beyondpay,4
bezant,bznt,Bezant,4
bficoin,bfic,Bficoin,4
bgogo,bgg,Bgogo,3
bhnetwork,bhat,BHNetwork,4
biblecoin,bibl,Biblecoin,4
biblepay,bbp,BiblePay,3
biconomy,bico,Biconomy,4
bicyclefi,bcf,BicycleFi,3
bidao,bid,Bidao,3
biden,biden,BIDEN,5
bidipass,bdp,BidiPass,3
bifi,bifi,BiFi,4
bifrost,bfc,Bifrost,3
bigfoot,foot,BIGFOOT,4
biggerminds,mind+,BiggerMINDS,5
bigshortbets,bigsb,BigShortBets,5
bigwinner,big,Bigwinner,3
biitgatti,bitgatti,Bitgatti,8
bikerush,brt,Bikerush,3
bilira,tryb,BiLira,4
billionhappiness,bhc,BillionHappiness,3
binahero,hero,BinaHero,4
binahunter,bhunt,BinaHunter,5
binamon,bmon,Binamon,4
binancecoin,bnb,BNB,3
binancehodl,bihodl,BinanceHODL,6
binanceidr,bidr,BIDR,4
binapet,bpet,Binapet,4
binarydao,byte,BinaryDAO,4
binaryx,bnx,BinaryX,3
bincentive,bcnt,Bincentive,4
binemon,bin,Binemon,3
bingdwendwen,bingdwendwen,BingDwenDwen,12
binopoly,bino,Binopoly,4
binspirit,binspirit,binSPIRIT,9
binstarter,bsr,BinStarter,3
biokkoin,bkkg,Biokkoin,4
biopassport,biot,Bio Passport,4
birake,bir,Birake,3
birdchain,bird,Birdchain,4
bismuth,bis,Bismuth,3
bistroo,bist,Bistroo,4
biswap,bsw,Biswap,3
bitant,bitant,BitANT,6
bitastir,bita,BitAstir,4
bitazza,btz,Bitazza,3
bitball,btb,Bitball,3
bitbar,btb,Bitbar,3
bitboost,bbt,BitBoost,3
bitburn,burn,Bitburn,4
bitcanna,bcna,BitCanna,4
bitcash,bitc,BitCash,4
bitcastle,castle,bitcastle,6
bitceo,bceo,bitCEO,4
bitcherry,bchc,BitCherry,4
bitcicoin,bitci,Bitcicoin,5
bitclave,cat,BitClave,3
bitcloud,btdx,Bitcloud,4
bitclout,deso,Decentralized Social,4
bitcny,bitcny,bitCNY,6
bitcoin,btc,Bitcoin,3
bitcoinbam,btcbam,BitcoinBam,6
bitcoinbrand,btcb,BitcoinBrand,4
bitcoinlegend,bcl,BitcoinLegend,3
bitcoinmoney,bcm,BitcoinMoney,3
bitcoinmono,btcmz,BitcoinMono,5
bitcoinsov,bsov,BitcoinSoV,4
bitcoinstaking,bsk,BitcoinStaking,3
bitcoinv,btcv,BitcoinV,4
bitcoinx,bcx,BitcoinX,3
bitcoinz,btcz,BitcoinZ,4
bitcoiva,bca,Bitcoiva,3
bitcoke,coke,BitCoke,4
bitcomine,bme,BitcoMine,3
bitcomo,bm,Bitcomo,2
bitconnect,bcc,Bitconnect,3
bitcore,btx,BitCore,3
bitcurate,btcr,Bitcurate,4
bitdao,bit,BitDAO,3
bitdegree,bdg,BitDegree,3
bitdoge,bdoge,BitDoge,5
bitdollars,btcd,Bitdollars,4
bitfari,fari,Bitfari,4
bitflowers,petal,bitFlowers,5
bitforex,bf,Bitforex,2
bitgear,gear,Bitgear,4
bitgem,xbtg,Bitgem,4
bitgesell,bgl,Bitgesell,3
bitguild,plat,BitGuild PLAT,4
bithachi,bith,Bithachi,4
bithashex,bhax,Bithashex,4
bithostcoin,bih,BitHostCoin,3
bitjob,stu,bitJob,3
bitlevex,blex,Bitlevex,4
bitlive,blt,BITLIVE,3
bitlocus,btl,Bitlocus,3
bitlorrent,blt,Bitlorrent,3
bitmark,marks,Bitmark,5
bitmic,bmic,Bitmic,4
bitmon,bit,Bitmon,3
bitnautic,btnt,BitNautic,4
bitnorm,bn,Bitnorm,2
bitone,bio,BITONE,3
bitorbit,bitorb,BitOrbit,6
bitoreum,btrm,Bitoreum,4
bitrent,rntb,BitRent,4
bitroncoin,btrn,BitronCoin,4
bitscreener,bitx,BitScreener,4
bitshares,bts,BitShares,3
bitshark,btshk,Bitshark,5
bitshiba,shiba,BitShiba,5
bitsliced,sliced,Bitsliced,6
bitsong,btsg,BitSong,4
bitspawn,spwn,Bitspawn,4
bitstake,xbs,BitStake,3
bitsubishi,bitsu,Bitsubishi,5
bitsum,mat,Matka,3
bitswift,bits,Bitswift,4
bittorrent,btt,BitTorrent,3
bittracksystems,bttr,BittrackSystems,4
bittube,tube,BitTube,4
bittwatt,bwt,Bittwatt,3
bitvalley,bitv,BitValley,4
bitvote,btv,Bitvote,3
bitwhite,btw,BitWhite,3
bitz,bitz,bitz,4
bitzen,bzen,Bitzen,4
bitzeny,zny,BitZeny,3
bitzipp,bzp,BitZipp,3
bixcpro,bixcpro,BIXCPRO,7
bizzcoin,bizz,BIZZCOIN,4
blackcoin,blk,BlackCoin,3
blackholedao,bho,BlackHoleDAO,3
blackpoker,bpkr,BlackPoker,4
blanc,blanc,Blanc,5
blank,blank,BlockWallet,5
blast,blast,BLAST,5
blatform,bform,Blatform,5
blazar,blazar,BLAZAR,6
blitzpredict,xbp,BlitzPick,3
blizzard,xblzd,Blizzard,5
blocery,bly,Blocery,3
blockasset,block,Blockasset,5
blockaura,tbac,BlockAura,4
blockbank,bbank,BlockBank,5
blockbase,bbt,BlockBase,3
blockblend,bbl,BlockBlend,3
blockburn,burn,BlockBurn,4
blockcdn,bcdn,BlockCDN,4
blockchainpoland,bcp,BlockchainPoland,3
blockchainspace,guild,BlockchainSpace,5
blockearth,blet,Blockearth,4
blockfilesystem,bfs,BlockFileSystem,3
blockmax,ocb,BLOCKMAX,3
blocknet,block,Blocknet,5
blocknotex,bnox,BlockNoteX,4
blockpad,blos,Blockius,4
blockpass,pass,Blockpass,4
blockport,bux,BUX,3
blocks,blocks,BLOCKS,6
blocksafu,bsafu,BlockSafu,5
blocksport,bspt,Blocksport,4
blocksquare,bst,Blocksquare,3
blockstack,stx,Stacks,3
blockster,bxr,Blockster,3
blocksworkz,blkz,BlocksWorkz,4
blocktanium,bkt,Blocktanium,3
blockv,vee,BLOCKv,3
blockwarrior,blwa,BlockWarrior,4
blockwrk,wrk,BlockWRK,3
blockxpress,bx,BlockXpress,2
blokpad,bpad,BlokPad,4
bloktopia,blok,Bloktopia,4
bloom,blt,Bloom,3
blossomcoin,blosm,BlossomCoin,5
blowup,$blow,BlowUP,5
blox,cdt,Blox,3
bluca,bluc,Bluca,4
blue,blue,Blue Protocol,4
blueark,brk,BlueArk,3
bluebenx,benx,BlueBenx,4
bluebit,bbt,BlueBit,3
bluecoin,blu,Bluecoin,3
bluefi,bleu,BleuFi,4
blueshift,blues,Blueshift,5
bluesparrow,bluesparrow,BlueSparrow,11
bluewizard,wiz,BlueWizard,3
blurt,blurt,Blurt,5
bluzelle,blz,Bluzelle,3
bmax,bmax,BMAX,4
bnbback,bnbback,BNBBack,7
bnbdefi,$defi,BNBDeFi,5
bnbtiger,bnbtiger,BNBTiger,8
bnktothefuture,bft,BnkToTheFuture,3
board,board,Board,5
bob,bob,BOB,3
bobadoge,bdoge,BobaDoge,5
bobatama,boba,Bobamask,4
bobcoin,bobc,Bobcoin,4
bocoin,boc,BOCOIN,3
bofb,bofb,bofb,4
boid,boid,Boid,4
boji,boji,Boji,4
boku,boku,Boryoku Dragonz,4
bolide,blid,Bolide,4
bolivarcoin,boli,Bolivarcoin,4
bollycoin,bolly,BollyCoin,5
bolt,bolt,Bolt,4
bomb,bomb,BOMB,4
bondly,bondly,Forj,6
bonfi,bnf,BonFi,3
bonfida,fida,Bonfida,4
bonfire,bonfire,Bonfire,7
bongweedcoin,bwc,BongWeedCoin,3
bontecoin,bonte,Bontecoin,5
boolean,bool,Boolean,4
boomspace,space,BoomSpace,5
boorio,orio,Boorio,4
boost,boost,Boost,5
booster,boo,Booster,3
boosto,bst,BOOSTO,3
boozedoge,bodo,BoozeDoge,4
bora,bora,BORA,4
boringdao,boring,BoringDAO,6
bork,bork,Bork,4
bosagora,boa,BOSAGORA,3
boss,boss,Boss,4
bossswap,boss,Boss Swap,4
bostrom,boot,Bostrom,4
botopiafinance,btop,BotopiaFinance,4
botto,botto,Botto,5
bottos,bto,Bottos,3
botxcoin,botx,BOTXCOIN,4
bounty,bnty,Bounty,4
bountymarketcap,bmc,BountyMarketCap,3
boutspro,bouts,BoutsPro,5
bowscoin,bsc,BowsCoin,3
box,box,BOX,3
boxaxis,baxs,BoxAxis,4
boxch,boxch,Boxch,5
boxerdoge,boxerdoge,BoxerDOGE,9
bpm,bpm,BPM,3
brainiac,brains,Brainiac,6
braintrust,btrst,Braintrust,5
branaverse,brana,Branaverse,5
brank,brank,Brank,5
bread,brd,Bread,3
breederdao,breed,BreederDAO,5
breezecoin,brze,Breezecoin,4
brewlabs,brewlabs,Brewlabs,8
bribe,bribe,BRIBE,5
brick,brick,r/FortNiteBR Bricks,5
brightypad,byp,BrightyPad,3
bring,nor,Noir,3
brisepad,bpad,Brisepad,4
briseswap,bswap,Briseswap,5
britto,brt,Britto,3
brokkr,bro,Brokkr,3
brokoli,brkl,Brokoli,4
browniesswap,brown,BrowniesSwap,5
brz,brz,Brazilian Digital,3
bscarmy,barmy,BscArmy,5
bscbay,bscb,BSCBAY,4
bscbond,bscb,BscBond,4
bsccrop,bsccrop,BSCCrop,7
bscex,bscx,BSCEX,4
bscgold,bscgold,BSCGold,7
bsclaunch,bsl,BSClaunch,3
bscpad,bscpad,BSCPAD,6
bscstarter,start,Starter.xyz,5
bscview,bscv,Bscview,4
bsdium,bscd,BSDium,4
bsocial,bins,BSocial,4
btcmoon,btcm,BTCMoon,4
btecoin,bte,BTEcoin,3
btf,btf,Bitcoin Faith,3
btmiracles,bm,BtMiracles,2
btrips,btr,BTRIPS,3
bubblefong,bbf,Bubblefong,3
bubbles,bubble,Bubbles,6
budacoin,buda,BudaCoin,4
buddy,bud,Buddy,3
buffedshiba,bshib,BuffedShiba,5
buffswap,buffs,BuffSwap,5
build,build,BUILD,5
buildup,bup,BuildUp,3
bukh,bukh,bUKHI,4
bullbankers,bankers,BullBankers,7
bulldogswap,budg,BullDogSwap,4
bulleon,bul,Bulleon,3
bullieverse,bull,Bullieverse,4
bullion,cbx,Bullion,3
bullionfx,bull,BullionFX,4
bullishapes,bullish,BullishApes,7
bullperks,blp,BullPerks,3
bullrise,bull,BullRise,4
bumoon,bumn,BUMooN,4
bumper,bump,Bumper,4
bundles,bund,Bundles,4
bunicorn,buni,Bunicorn,4
bunnycoin,bun,Bunnycoin,3
bunnyducky,bud,BunnyDucky,3
bunnypark,bp,BunnyPark,2
bunnyrocket,bunnyrocket,BunnyRocket,11
bunnyverse,bnv,BunnyVerse,3
bunscake,bscake,Bunscake,6
burency,buy,Burency,3
burndoge,burndoge,BurnDoge,8
burnfloki,bfloki,BurnFloki,6
burningmoon,bm,BurningMoon,2
burnz,burnz,BURNZ,5
burp,burp,Burp,4
burrow,brrr,Burrow,4
